発生年,発生月,神埼,杵島,三養基,藤津,小城,東松浦,佐賀,西松浦,佐賀市
1898,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,1,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,1,1,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1899,1,0,0,0,0,0,0,0,0,0
,2,0,0,1,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,1,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1900,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,1,0,0,0,0,0
1901,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,1,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,1,0,0,0,0,0,0
,6,0,0,0,1,0,0,0,0,0
,7,0,0,1,1,0,0,0,0,1
,8,1,0,1,1,0,3,2,0,3
,9,0,0,0,0,0,3,0,0,0
,10,0,0,0,0,0,0,0,1,0
,11,0,0,0,0,0,0,0,0,0
,12,0,1,9,0,0,0,0,0,0
1902,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,1,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,1,0,0,0,0,0
,6,1,0,1,0,1,3,1,0,0
,7,0,0,0,0,0,1,0,0,0
,8,0,0,0,0,0,3,0,0,0
,9,0,0,0,0,0,3,0,0,0
,10,0,0,0,0,0,0,0,1,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1912,1,0,0,0,0,1,1,0,1,1
,2,0,0,0,0,0,1,0,0,4
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,1,0,0,0
,5,0,0,0,0,0,1,0,0,0
,6,0,0,0,0,0,3,0,0,0
,7,0,0,0,0,0,1,0,0,0
,8,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1913,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1914,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1915,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1916,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1917,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1918,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1923,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,1,0,0,0,1,0,0
,8,0,0,0,0,0,0,1,0,1
,9,0,0,0,0,0,0,0,0,1
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,1,0,0,0
1924,1,0,0,1,0,0,9,0,0,0
,2,0,0,0,0,0,21,1,0,0
,3,0,0,0,0,0,5,0,0,0
,4,0,0,0,0,0,1,0,0,1
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0
,7,0,0,0,0,2,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,1,0,0
,12,0,0,0,0,0,0,1,0,0
1925,1,0,0,0,0,0,0,1,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,3,1,0,0
,9,0,0,0,0,0,2,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,1,0
1926,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,1,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1927,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1928,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1929,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0
1930,1,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0